Data set,"Authors collaborating with Leung, Michael Kwok Hi"
Entity,"Leung, Michael Kwok Hi"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Zhang, Yizhen",203166,"Shandong University of Science and Technology",academic,8,153,19.1,0.74,57194692645
"Chen, Keda",205002,"City University of Hong Kong",academic,6,136,22.7,0.76,57211921610
"He, Yun",203445,"Wuhan Polytechnic University",academic,6,156,26.0,1.04,57196424677
"Hu, Jue",203114,"Kunming University of Science and Technology",academic,5,109,21.8,1.22,36668754000
"Ran, Lei",205002,"City University of Hong Kong",academic,5,338,67.6,3.87,56662789400
"Zhang, Chengxu",203114,"Kunming University of Science and Technology",academic,5,109,21.8,1.22,57193499866
"Leung, Dennis Yiu Cheong",205006,"The University of Hong Kong",academic,4,84,21.0,1.04,56065668600
"Li, Xin",205002,"City University of Hong Kong",academic,4,82,20.5,1.97,58503098800
"Liu, Jin",205002,"City University of Hong Kong",academic,4,88,22.0,1.90,57208820331
"Peng, Zehua",205005,"Hong Kong University of Science and Technology",academic,4,78,19.5,1.57,57190884829
"Wu, Wei",205002,"City University of Hong Kong",academic,4,80,20.0,1.19,56196144600
"Xu, Yifan",203206,"Tianjin University",academic,4,0,0.0,0.00,57451031100
"Zhou, Jinsong",205002,"City University of Hong Kong",academic,4,64,16.0,1.78,57217178412
"Asim, Muhammad",205004,"Hong Kong Polytechnic University",academic,3,4,1.3,0.34,56259661400
"Cao, Xiaoqiang",203166,"Shandong University of Science and Technology",academic,3,10,3.3,0.26,20435314300
"Hou, Yang",203243,"Zhejiang University",academic,3,96,32.0,5.87,35237260400
"Khan, Sheheryar",205004,"Hong Kong Polytechnic University",academic,3,4,1.3,0.34,57202720144
"Li, Penghui",203166,"Shandong University of Science and Technology",academic,3,10,3.3,0.26,59279127000
"Ng, Yun Hau",205002,"City University of Hong Kong",academic,3,90,30.0,1.33,57205343588
"Ran, Bei",203186,"Sichuan University",academic,3,338,112.7,6.45,59873318900
"Wang, Yifei",203076,"Harbin Institute of Technology",academic,3,84,28.0,1.39,56563190000
"Xiong, Wei",203054,"Dalian University of Technology",academic,3,8,2.7,0.37,57201902609
"Zheng, Zhanying",203076,"Harbin Institute of Technology",academic,3,59,19.7,0.97,57217310299
"Cao, Jingyu",203102,"Hunan University",academic,2,57,28.5,1.40,57157924200
"Ding, Yang",203074,"Hangzhou Dianzi University",academic,2,15,7.5,1.05,57220102159
"Dong, Guangzhong",203076,"Harbin Institute of Technology",academic,2,2,1.0,1.29,56797379900
"Feng, Yongqiang",203108,"Jiangsu University",academic,2,18,9.0,0.92,56521995900
"Hai, Guangtong",203243,"Zhejiang University",academic,2,61,30.5,2.93,57700605100
"Huang, Haibao",203198,"Sun Yat-Sen University",academic,2,82,41.0,0.79,24080074500
"Li, Jianfen",203445,"Wuhan Polytechnic University",academic,2,138,69.0,2.44,35242666000
"Li, Jiantao",203435,"SINOPEC",corporate,2,82,41.0,0.79,55752879300
"Li, Li",710560,"Jiangsu University of Technology",academic,2,127,63.5,1.60,56177105500
"Qi, Qianglong",203114,"Kunming University of Science and Technology",academic,2,58,29.0,1.43,57216395720
"Siddiqui, Farooq R.",205005,"Hong Kong University of Science and Technology",academic,2,4,2.0,0.51,56035681600
"Tang, Qinglan",205002,"City University of Hong Kong",academic,2,0,0.0,0.00,59704160100
"Wang, Chunhua",205002,"City University of Hong Kong",academic,2,15,7.5,1.05,57193715327
"Wang, Haihui",203209,"Tsinghua University",academic,2,61,30.5,2.93,8659553100
"Wang, Yannan",203108,"Jiangsu University",academic,2,15,7.5,1.05,58113831600
"Xie, Ruijie",203198,"Sun Yat-Sen University",academic,2,82,41.0,0.79,57192872570
"Xie, Zhirun",205002,"City University of Hong Kong",academic,2,15,7.5,1.05,57202943039
"Xu, Xinhai",203076,"Harbin Institute of Technology",academic,2,2,1.0,1.29,55653827200
"Yuan, Jiaxin",205002,"City University of Hong Kong",academic,2,29,14.5,1.44,58199237000
"Zhang, Mingming",203076,"Harbin Institute of Technology",academic,2,2,1.0,1.29,56643345000
"Zhang, Qinghua",203243,"Zhejiang University",academic,2,83,41.5,8.24,56403680500
"Zhang, Yingguang",205002,"City University of Hong Kong",academic,2,82,41.0,0.79,56529783500
"Zhang, Yingjie",203114,"Kunming University of Science and Technology",academic,2,58,29.0,1.43,55890340100
"Zhao, Fenglin",203209,"Tsinghua University",academic,2,61,30.5,2.93,57191539495
"Zia, Abdul Wasy",315017,"Heriot-Watt University",academic,2,4,2.0,0.51,35168334800
"An, Liang",205004,"Hong Kong Polytechnic University",academic,1,0,0.0,0.00,35797956800
"Baek, Seung Hyo",716671,"Mokwon University",academic,1,5,5.0,0.70,55505172600
"Baig, Taha",205004,"Hong Kong Polytechnic University",academic,1,0,0.0,0.00,57285500000
"Bei, Shaoyi",710560,"Jiangsu University of Technology",academic,1,8,8.0,0.57,15059919300
"Cao, Jiaqi",203054,"Dalian University of Technology",academic,1,337,337.0,19.16,57331149800
"Cao, Yaru",205002,"City University of Hong Kong",academic,1,11,11.0,2.00,57218499866
"Chen, Gaofeng",203190,"South China University of Technology",academic,1,13,13.0,2.79,56422682100
"Chen, Jian",203114,"Kunming University of Science and Technology",academic,1,35,35.0,0.90,59636199500
"Chen, Sifan",203243,"Zhejiang University",academic,1,61,61.0,14.32,57222491824
"Dai, Hao",203076,"Harbin Institute of Technology",academic,1,1,1.0,1.34,59318591500
"Ding, Zhixiong",205002,"City University of Hong Kong",academic,1,26,26.0,1.25,56547929400
"Dong, Peng",203114,"Kunming University of Science and Technology",academic,1,35,35.0,0.90,26025907200
"Fong, K. F.",205002,"City University of Hong Kong",academic,1,5,5.0,0.70,13309504900
"Gao, Feng",203243,"Zhejiang University",academic,1,61,61.0,14.32,58972020200
"Guo, Jiahuan",203054,"Dalian University of Technology",academic,1,7,7.0,0.93,58985111900
"Han, Ning",303008,"KU Leuven",academic,1,0,0.0,0.00,56438886700
"He, Yuhe",205002,"City University of Hong Kong",academic,1,11,11.0,2.00,16241582000
"Ho, Tsz Chung",205002,"City University of Hong Kong",academic,1,13,13.0,0.96,57218372631
"Hong, Xiaoqiang",203222,"Xiamen University",academic,1,2,2.0,0.12,56539252600
"Hou, Jungang",203054,"Dalian University of Technology",academic,1,337,337.0,19.16,26659047800
"Hsu, Huayi",217042,"National Taipei University of Technology",academic,1,16,16.0,1.72,11641077600
"Hu, Jiankun",-,"Donghai Laboratory",-,1,61,61.0,14.32,57219942643
"Hu, Mingke",203195,"Southwest Jiaotong University",academic,1,30,30.0,1.19,56422952000
"Huang, Bolong",205004,"Hong Kong Polytechnic University",academic,1,23,23.0,1.95,55847669600
"Huang, Xingcan",205002,"City University of Hong Kong",academic,1,1,1.0,0.33,57203495615
"Hung, Tzu Chen",217042,"National Taipei University of Technology",academic,1,16,16.0,1.72,7103293775
"Imran, Muhammad",315001,"Aston University",academic,1,0,0.0,0.00,56259957400
"Kan, Yujiao",203166,"Shandong University of Science and Technology",academic,1,7,7.0,0.67,55921503200
"Khan, Shahid Ali",205002,"City University of Hong Kong",academic,1,0,0.0,0.00,57211525423
"Lai, Jhao Hong",217042,"National Taipei University of Technology",academic,1,16,16.0,1.72,58667777700
"Lam, Paul Kwan Sing",706768,"Hong Kong Metropolitan University",academic,1,11,11.0,2.00,7202365776
"Lee, C. K.",205002,"City University of Hong Kong",academic,1,5,5.0,0.70,55800822400
"Lee, Hau Him",205002,"City University of Hong Kong",academic,1,13,13.0,0.96,57217850343
"Leung, Hetty Sin Ying",309204,"Siemens",corporate,1,5,5.0,0.70,58157981400
"Leung, Kenneth M.Y.",205002,"City University of Hong Kong",academic,1,11,11.0,2.00,7401860738
"Leung, Tsz Kei",205002,"City University of Hong Kong",academic,1,16,16.0,1.74,58198697000
"Li, Baole",203114,"Kunming University of Science and Technology",academic,1,35,35.0,0.90,57300463500
"Li, Gang",205002,"City University of Hong Kong",academic,1,13,13.0,1.14,58810198100
"Li, Guisheng",203214,"University of Shanghai for Science and Technology",academic,1,119,119.0,2.62,7407054883
"Li, Hui",203445,"Wuhan Polytechnic University",academic,1,19,19.0,2.27,58908389400
"Li, Xinxing",205002,"City University of Hong Kong",academic,1,11,11.0,2.00,58685734900
"Li, Xinyong",203054,"Dalian University of Technology",academic,1,0,0.0,0.00,55642366700
"Li, Zhiyuan",205002,"City University of Hong Kong",academic,1,1,1.0,0.33,58607283600
"Li, Zhuwei",704020,"Nanyang Normal University",academic,1,337,337.0,19.16,57201857533
"Lin, Huiju",205002,"City University of Hong Kong",academic,1,11,11.0,2.00,57195626851
"Liu, Biao",203022,"Central South University",academic,1,0,0.0,0.00,56896410700
"Liu, Feng",-,"Ltd.",-,1,29,29.0,0.86,57212658970
"Liu, Honghong",203190,"South China University of Technology",academic,1,48,48.0,3.06,57206867318
"Liu, Quan",203219,"Wuhan University",academic,1,22,22.0,2.16,57209282055
"Liu, Ting",203223,"Xi'an Jiaotong University",academic,1,8,8.0,0.57,56903332900
"Lo, Tim Ka Kui",309204,"Siemens",corporate,1,5,5.0,0.70,58157638200
"Lu, Jianguo",203243,"Zhejiang University",academic,1,61,61.0,14.32,7601563262
"Luo, Shanxiong",203114,"Kunming University of Science and Technology",academic,1,23,23.0,1.95,57222247718
"Luo, X. J.",315105,"University of the West of England",academic,1,5,5.0,0.70,57190532152
"Meng, Fandong",203243,"Zhejiang University",academic,1,22,22.0,2.16,57209286026
"Pan, Wending",205006,"The University of Hong Kong",academic,1,0,0.0,0.00,57205380321
"Pan, Z. F.",203047,"Chongqing University",academic,1,0,0.0,0.00,57195585593
"Peng, Jinqing",203102,"Hunan University",academic,1,30,30.0,1.19,58348199100
"Qin, Xian",205002,"City University of Hong Kong",academic,1,11,11.0,2.00,57765320900
"Ren, Yinuo",203166,"Shandong University of Science and Technology",academic,1,3,3.0,0.12,58625865500
"Riaz, Fahid",700352,"Abu Dhabi University",academic,1,0,0.0,0.00,56610065900
"Ruan, Yuefei",205002,"City University of Hong Kong",academic,1,11,11.0,2.00,57202961387
"Shang, Yanan",203166,"Shandong University of Science and Technology",academic,1,7,7.0,0.67,57193321056
"Shao, Haodong",203114,"Kunming University of Science and Technology",academic,1,29,29.0,0.86,57901662500
"Shao, Teng",203054,"Dalian University of Technology",academic,1,337,337.0,19.16,57887527300
"Shen, Wenjing",203108,"Jiangsu University",academic,1,0,0.0,0.00,58167799600
"Shi, Yong",203054,"Dalian University of Technology",academic,1,0,0.0,0.00,56303986700
"Shuai, Yong",203076,"Harbin Institute of Technology",academic,1,16,16.0,1.72,8398651000
"Siddiqui, Muhammad Furqan",214002,"National University of Sciences and Technology Pakistan",academic,1,0,0.0,0.00,58070653000
"Song, Hongchuan",203237,"Yunnan Normal University",academic,1,23,23.0,1.95,15924415600
"Song, Lina",203239,"Zhejiang Agriculture and Forestry University",academic,1,61,61.0,14.32,57203020665
"Song, Yurou",203054,"Dalian University of Technology",academic,1,337,337.0,19.16,57458344600
"Sui, Yunren",205002,"City University of Hong Kong",academic,1,25,25.0,1.80,57216812361
"Sun, Jiaxing",205006,"The University of Hong Kong",academic,1,0,0.0,0.00,57223203213
"Sun, Licheng",715818,"Westlake University",academic,1,337,337.0,19.16,55701772900
"Sun, Mingzi",205004,"Hong Kong Polytechnic University",academic,1,23,23.0,1.95,57194344791
"Sun, Yongjun",205002,"City University of Hong Kong",academic,1,5,5.0,0.70,56374221200
"Tang, Shaoru",205006,"The University of Hong Kong",academic,1,0,0.0,0.00,57337199000
"Tong, Zheming",203243,"Zhejiang University",academic,1,61,61.0,14.32,59036709200
"Tsai, Yuchun",203076,"Harbin Institute of Technology",academic,1,16,16.0,1.72,58667087600
"Tso, Chi Yan",205002,"City University of Hong Kong",academic,1,13,13.0,0.96,55249604200
"Utomo, Wahyu Prasetyo",701292,"Institut Teknologi Sepuluh Nopember",academic,1,75,75.0,1.89,57114966400
"Wang, Hongkang",203223,"Xi'an Jiaotong University",academic,1,8,8.0,0.57,48462190700
"Wang, Jiaqi",203073,"Guizhou University",academic,1,19,19.0,2.27,58604956900
"Wang, Jingyi",205004,"Hong Kong Polytechnic University",academic,1,1,1.0,1.24,57200017302
"Wang, Qiliang",315090,"University of Nottingham",academic,1,30,30.0,1.19,57189384666
"Wang, Qing",205004,"Hong Kong Polytechnic University",academic,1,0,0.0,0.00,59497546400
"Wang, Yue",203114,"Kunming University of Science and Technology",academic,1,29,29.0,0.86,57222997577
"Wang, Zuankai",205004,"Hong Kong Polytechnic University",academic,1,1,1.0,0.33,15027868200
"Wei, Bo",203166,"Shandong University of Science and Technology",academic,1,0,0.0,0.00,57202288851
"Wei, Yen",217042,"National Taipei University of Technology",academic,1,16,16.0,1.72,58667777800
"Wen, Yiqiang",203245,"Zhengzhou University",academic,1,22,22.0,2.16,37105447000
"Wu, Hao",704842,"Macau University of Science and Technology",academic,1,75,75.0,1.89,56982003300
"Wu, Lizhen",205004,"Hong Kong Polytechnic University",academic,1,0,0.0,0.00,57214092338
"Wu, Qingquan",203076,"Harbin Institute of Technology",academic,1,1,1.0,1.24,59262537000
"Xiao, Jingyi",205002,"City University of Hong Kong",academic,1,23,23.0,1.95,57212211232
"Xiong, Wei",203054,"Dalian University of Technology",academic,1,0,0.0,0.00,59581986800
"Xu, Qiang",707905,"Changzhou Institute of Technology",academic,1,8,8.0,0.57,56729501100
"Xuan, Jin",315102,"University of Surrey",academic,1,119,119.0,2.62,25722402300
"Yang, Haoyi",203166,"Shandong University of Science and Technology",academic,1,7,7.0,0.67,59118788100
"Yang, Jiajie",203054,"Dalian University of Technology",academic,1,7,7.0,0.93,58084085300
"Yang, Jun",710560,"Jiangsu University of Technology",academic,1,8,8.0,0.57,57455163900
"Yang, Zhengbao",205005,"Hong Kong University of Science and Technology",academic,1,1,1.0,0.33,56297892100
"Yao, Zhiquan",203054,"Dalian University of Technology",academic,1,0,0.0,0.00,58783691400
"Yin, Zongyou",201001,"Australian National University",academic,1,75,75.0,1.89,8868122600
"Yu, Xinge",205002,"City University of Hong Kong",academic,1,1,1.0,0.33,49664472800
"Yu, Yaoyang",205002,"City University of Hong Kong",academic,1,0,0.0,0.00,59734533300
"Zhai, Chong",203128,"Nanjing Normal University",academic,1,25,25.0,1.80,59274448100
"Zhan, Xiaoli",203243,"Zhejiang University",academic,1,61,61.0,14.32,7102821729
"Zhan, Xing",203054,"Dalian University of Technology",academic,1,0,0.0,0.00,58003471700
"Zhang, Jun",203165,"Shandong University",academic,1,0,0.0,0.00,59896719900
"Zhang, Tianli",203245,"Zhengzhou University",academic,1,22,22.0,2.16,58605013800
"Zhang, Yang",203166,"Shandong University of Science and Technology",academic,1,7,7.0,0.67,56652352600
"Zhang, Yantong",203114,"Kunming University of Science and Technology",academic,1,35,35.0,0.90,57409540000
"Zhang, Zihan",203114,"Kunming University of Science and Technology",academic,1,35,35.0,0.90,57219283103
"Zhang, Ziyang",203076,"Harbin Institute of Technology",academic,1,1,1.0,1.34,59799281100
"Zhao, Jianqiang",203114,"Kunming University of Science and Technology",academic,1,29,29.0,0.86,58746879200
"Zhao, Yue",203054,"Dalian University of Technology",academic,1,337,337.0,19.16,58684977600
"Zheng, Keqing",203037,"China University of Mining and Technology",academic,1,8,8.0,0.57,56030263300
"Zheng, Ling",203102,"Hunan University",academic,1,30,30.0,1.19,57698246500
"Zhou, Xiaohan",203166,"Shandong University of Science and Technology",academic,1,7,7.0,0.67,59873072500
"Zhou, Xince",203054,"Dalian University of Technology",academic,1,7,7.0,0.93,59302847900
"Zhu, Guangya",203130,"Nanjing University of Aeronautics and Astronautics",academic,1,5,5.0,0.70,59838517200
"Zhu, Longkai",203445,"Wuhan Polytechnic University",academic,1,19,19.0,2.27,57656778400
"Zhu, Sanyuan",203114,"Kunming University of Science and Technology",academic,1,29,29.0,0.86,58849577300
"Zhu, Yihao",205002,"City University of Hong Kong",academic,1,13,13.0,0.96,57221095908
"Zhu, Yongfa",203209,"Tsinghua University",academic,1,0,0.0,0.00,58494691600
"Zhu, Zhi",203108,"Jiangsu University",academic,1,0,0.0,0.00,56427214900
"Zou, Xiaohong",205004,"Hong Kong Polytechnic University",academic,1,0,0.0,0.00,57203186273

"© 2025 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
